B1_stim,B1_condition,B1_correct,b1_instuctions.thisRepN,b1_instuctions.thisTrialN,b1_instuctions.thisN,b1_instuctions.thisIndex,B1_trials.thisRepN,B1_trials.thisTrialN,B1_trials.thisN,B1_trials.thisIndex,B2_instr.thisRepN,B2_instr.thisTrialN,B2_instr.thisN,B2_instr.thisIndex,B2_trials.thisRepN,B2_trials.thisTrialN,B2_trials.thisN,B2_trials.thisIndex,B2_stim,B2_condition,B2_correct,sig_volume,B1_resp.keys,B1_resp.corr,B1_resp.rt,RT_list,participant,session,date,expName,psychopyVersion,frameRate,
Catepillar,Animals,f,,,,,0,0,0,1,,,,,,,,,,,,,f,1,1.1531184000014036,[1.1531184000014036],,001,2019_Oct_09_1735,SST 10-9-19,3.1.5,60.04314700545342,
Armadillo,Animals,f,,,,,0,1,1,0,,,,,,,,,,,,,j,0,0.6043768000017735,"[1.1531184000014036, 0.6043768000017735]",,001,2019_Oct_09_1735,SST 10-9-19,3.1.5,60.04314700545342,
