B1_stim,B1_condition,B1_correct,B1_instr.thisRepN,B1_instr.thisTrialN,B1_instr.thisN,B1_instr.thisIndex,B1_trials.thisRepN,B1_trials.thisTrialN,B1_trials.thisN,B1_trials.thisIndex,B1_resp.keys,B1_resp.corr,participant,session,date,expName,psychopyVersion,frameRate,
Zebra,Animals,f,,,,,0,0,0,11,None,0,1,001,2019_Oct_01_1421,SST,3.2.3,59.9104817582779,
Sea Lion,Animals,f,,,,,0,1,1,8,None,0,1,001,2019_Oct_01_1421,SST,3.2.3,59.9104817582779,
