B1_stim,B1_condition,B1_correct,B1_instr.thisRepN,B1_instr.thisTrialN,B1_instr.thisN,B1_instr.thisIndex,B1_trials.thisRepN,B1_trials.thisTrialN,B1_trials.thisN,B1_trials.thisIndex,B1_resp.keys,B1_resp.corr,participant,session,date,expName,psychopyVersion,frameRate,
Rat,Animals,f,,,,,0,0,0,7,None,0,1,001,2019_Oct_01_1428,SST,3.1.5,59.9992320096576,
Leopard,Animals,f,,,,,0,1,1,3,None,0,1,001,2019_Oct_01_1428,SST,3.1.5,59.9992320096576,
Frog,Animals,f,,,,,0,2,2,2,None,0,1,001,2019_Oct_01_1428,SST,3.1.5,59.9992320096576,
Toad,Animals,f,,,,,0,3,3,10,None,0,1,001,2019_Oct_01_1428,SST,3.1.5,59.9992320096576,
Armadillo,Animals,f,,,,,0,4,4,0,None,0,1,001,2019_Oct_01_1428,SST,3.1.5,59.9992320096576,
Subway,Nonanimals,j,,,,,0,5,5,13,None,0,1,001,2019_Oct_01_1428,SST,3.1.5,59.9992320096576,
Sea Lion,Animals,f,,,,,0,6,6,8,None,0,1,001,2019_Oct_01_1428,SST,3.1.5,59.9992320096576,
Moose,Animals,f,,,,,0,7,7,4,None,0,1,001,2019_Oct_01_1428,SST,3.1.5,59.9992320096576,
Squirrel,Animals,f,,,,,0,8,8,9,None,0,1,001,2019_Oct_01_1428,SST,3.1.5,59.9992320096576,
Blueberry,Nonanimals,j,,,,,0,9,9,14,None,0,1,001,2019_Oct_01_1428,SST,3.1.5,59.9992320096576,
Saw,Nonanimals,j,,,,,0,10,10,23,None,0,1,001,2019_Oct_01_1428,SST,3.1.5,59.9992320096576,
Desk,Nonanimals,j,,,,,0,11,11,18,None,0,1,001,2019_Oct_01_1428,SST,3.1.5,59.9992320096576,
Penguin,Animals,f,,,,,0,12,12,5,None,0,1,001,2019_Oct_01_1428,SST,3.1.5,59.9992320096576,
Table,Nonanimals,j,,,,,0,13,13,12,None,0,1,001,2019_Oct_01_1428,SST,3.1.5,59.9992320096576,
Shorts,Nonanimals,j,,,,,0,14,14,17,None,0,1,001,2019_Oct_01_1428,SST,3.1.5,59.9992320096576,
Lettuce,Nonanimals,j,,,,,0,15,15,15,None,0,1,001,2019_Oct_01_1428,SST,3.1.5,59.9992320096576,
Parrot,Animals,f,,,,,0,16,16,6,None,0,1,001,2019_Oct_01_1428,SST,3.1.5,59.9992320096576,
Truck,Nonanimals,j,,,,,0,17,17,19,None,0,1,001,2019_Oct_01_1428,SST,3.1.5,59.9992320096576,
Garlic,Nonanimals,j,,,,,0,18,18,21,None,0,1,001,2019_Oct_01_1428,SST,3.1.5,59.9992320096576,
Zebra,Animals,f,,,,,0,19,19,11,None,0,1,001,2019_Oct_01_1428,SST,3.1.5,59.9992320096576,
Tomato,Nonanimals,j,,,,,0,20,20,20,None,0,1,001,2019_Oct_01_1428,SST,3.1.5,59.9992320096576,
Drill,Nonanimals,j,,,,,0,21,21,22,None,0,1,001,2019_Oct_01_1428,SST,3.1.5,59.9992320096576,
Screwdriver,Nonanimals,j,,,,,0,22,22,16,None,0,1,001,2019_Oct_01_1428,SST,3.1.5,59.9992320096576,
Catepillar,Animals,f,,,,,0,23,23,1,None,0,1,001,2019_Oct_01_1428,SST,3.1.5,59.9992320096576,
Penguin,Animals,f,,,,,1,0,24,5,None,0,1,001,2019_Oct_01_1428,SST,3.1.5,59.9992320096576,
Armadillo,Animals,f,,,,,1,1,25,0,None,0,1,001,2019_Oct_01_1428,SST,3.1.5,59.9992320096576,
Toad,Animals,f,,,,,1,2,26,10,None,0,1,001,2019_Oct_01_1428,SST,3.1.5,59.9992320096576,
Parrot,Animals,f,,,,,1,3,27,6,None,0,1,001,2019_Oct_01_1428,SST,3.1.5,59.9992320096576,
Rat,Animals,f,,,,,1,4,28,7,None,0,1,001,2019_Oct_01_1428,SST,3.1.5,59.9992320096576,
Squirrel,Animals,f,,,,,1,5,29,9,None,0,1,001,2019_Oct_01_1428,SST,3.1.5,59.9992320096576,
Lettuce,Nonanimals,j,,,,,1,6,30,15,None,0,1,001,2019_Oct_01_1428,SST,3.1.5,59.9992320096576,
Garlic,Nonanimals,j,,,,,1,7,31,21,None,0,1,001,2019_Oct_01_1428,SST,3.1.5,59.9992320096576,
Blueberry,Nonanimals,j,,,,,1,8,32,14,None,0,1,001,2019_Oct_01_1428,SST,3.1.5,59.9992320096576,
Moose,Animals,f,,,,,1,9,33,4,None,0,1,001,2019_Oct_01_1428,SST,3.1.5,59.9992320096576,
Catepillar,Animals,f,,,,,1,10,34,1,None,0,1,001,2019_Oct_01_1428,SST,3.1.5,59.9992320096576,
Truck,Nonanimals,j,,,,,1,11,35,19,None,0,1,001,2019_Oct_01_1428,SST,3.1.5,59.9992320096576,
