B2_stim,B2_condition,B2_correct,signal_volume,B2_instr.thisRepN,B2_instr.thisTrialN,B2_instr.thisN,B2_instr.thisIndex,B2_trials.thisRepN,B2_trials.thisTrialN,B2_trials.thisN,B2_trials.thisIndex,B2_stim_text.started,B2_stim_text.stopped,B2_resp.keys,B2_resp.corr,B2_resp.rt,B2_resp.started,B2_resp.stopped,B2_fixation.started,B2_fixation.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Antelope,Animals,f,0.0,,,,,0,0,0,0,10.591502599996602,None,f,1,0.4829506999994919,10.591502599996602,None,10.091502999999648,10.575287699997716,,001,2019_Oct_01_1500,b2 only,3.1.5,60.00384024532942,
Anteater,Animals,f,1.0,,,,,0,1,1,1,12.108313900000212,None,f,1,0.24625799999921583,12.108313900000212,None,11.608336999997846,12.091631599996617,,001,2019_Oct_01_1500,b2 only,3.1.5,60.00384024532942,
